,0
0,40.95
1,31.973333333333336
2,33.41333333333334
3,34.43666666666667
4,33.69
5,35.83333333333333
6,27.53333333333333
7,31.05
8,26.943333333333335
9,34.06666666666667
10,35.38
11,32.13333333333333
12,31.759999999999998
13,34.02666666666667
14,26.486666666666668
15,32.266666666666666
16,31.96
17,26.076666666666664
18,25.313333333333336
19,28.373333333333335
20,31.379999999999995
21,32.05666666666666
22,30.686666666666667
23,31.90333333333333
24,31.509999999999998
25,29.736666666666668
26,35.339999999999996
27,33.08
28,28.03333333333333
29,32.34666666666667
30,34.38666666666667
31,25.643333333333334
32,36.45666666666666
33,34.81666666666668
34,31.276666666666664
35,32.92666666666666
36,29.303333333333335
37,37.39333333333334
38,30.889999999999997
39,31.80333333333333
40,35.730000000000004
41,35.029999999999994
42,27.369999999999997
43,36.78666666666666
44,28.116666666666667
45,32.13
46,32.11666666666666
47,28.29333333333333
48,30.543333333333333
49,31.386666666666667
50,34.42999999999999
51,30.186666666666667
52,33.96
53,32.89666666666667
54,37.36333333333334
55,28.619999999999997
56,35.35
57,30.743333333333332
58,31.643333333333334
59,35.35
60,37.92999999999999
61,34.5
