,0
0,33.726666666666674
1,24.743333333333332
2,28.456666666666667
3,24.543333333333333
4,32.96
5,25.259999999999998
6,33.193333333333335
7,29.056666666666665
8,32.906666666666666
9,33.36333333333334
10,28.21666666666667
11,31.346666666666664
12,32.48333333333333
13,35.660000000000004
14,33.33
15,30.979999999999997
16,33.11333333333333
17,34.03666666666666
18,33.709999999999994
19,24.56666666666667
20,25.793333333333333
21,30.160000000000004
22,28.670000000000005
23,30.893333333333334
24,33.31333333333333
25,32.226666666666674
26,32.36999999999999
27,33.446666666666665
28,31.806666666666665
29,32.58
30,30.49
31,28.22
32,35.47666666666667
33,31.71333333333333
34,28.073333333333334
35,32.57333333333333
36,25.860000000000003
37,31.553333333333335
38,33.56
39,39.38
40,32.71
41,30.436666666666667
42,33.223333333333336
43,27.873333333333335
44,32.230000000000004
45,32.906666666666666
46,33.57
47,31.130000000000003
48,33.016666666666666
49,32.486666666666665
50,32.88666666666667
51,27.936666666666667
52,25.669999999999998
53,24.336666666666666
54,30.310000000000002
55,32.35
56,35.71333333333334
57,30.493333333333332
58,23.10333333333333
59,32.57666666666667
60,33.34
61,32.903333333333336
62,30.369999999999997
63,32.71666666666666
64,33.14333333333333
65,28.996666666666663
66,31.183333333333337
67,28.226666666666667
68,30.48333333333333
69,33.056666666666665
70,23.153333333333332
71,28.73
72,31.236666666666668
73,35.266666666666666
74,30.080000000000002
75,29.48
76,30.576666666666664
77,26.409999999999997
78,29.25
79,30.59333333333334
80,32.519999999999996
81,30.81666666666667
82,29.420000000000005
83,32.809999999999995
84,37.64666666666666
85,47.266666666666666
86,30.306666666666665
87,34.96999999999999
88,36.3
89,39.93666666666667
90,30.54
91,33.93666666666667
92,36.79666666666667
93,33.35
94,30.290000000000003
95,32.59
96,31.616666666666667
97,31.630000000000003
98,29.106666666666666
99,31.19666666666667
100,32.43666666666667
101,36.88666666666667
102,33.88333333333334
103,28.843333333333334
104,28.54666666666667
105,39.376666666666665
106,32.29
107,32.416666666666664
108,33.22333333333333
109,35.09333333333333
110,33.209999999999994
111,32.199999999999996
112,32.029999999999994
113,31.45666666666666
114,31.526666666666664
115,30.92666666666667
116,31.843333333333327
117,30.71
118,31.20333333333333
119,30.986666666666668
120,33.666666666666664
121,25.253333333333334
122,25.843333333333334
123,25.93333333333333
124,31.03333333333333
125,28.833333333333336
126,32.85666666666667
127,32.80333333333333
128,33.4
129,32.36333333333333
130,31.873333333333335
131,33.95666666666666
132,31.313333333333333
133,29.293333333333333
134,34.57000000000001
135,34.9
136,31.990000000000002
137,33.193333333333335
138,29.35
139,29.666666666666664
140,29.71333333333333
141,29.119999999999997
142,32.78666666666667
143,32.08
144,31.636666666666667
145,24.333333333333336
146,33.233333333333334
147,33.64666666666667
148,33.163333333333334
149,26.51
150,27.693333333333328
151,32.040000000000006
152,29.82
153,30.07666666666667
154,26.443333333333335
155,31.506666666666668
156,32.446666666666665
157,32.16666666666667
158,25.796666666666663
159,25.863333333333333
160,33.766666666666666
161,31.876666666666665
162,29.056666666666665
163,28.04
164,32.71666666666666
165,32.31333333333333
166,34.223333333333336
167,36.77666666666667
168,32.343333333333334
169,33.04666666666667
170,28.493333333333332
171,31.243333333333332
172,30.05
173,31.436666666666667
174,28.779999999999994
175,27.586666666666666
176,35.586666666666666
177,34.39333333333333
178,32.6
179,32.83
180,35.39
181,28.103333333333335
182,36.36
183,29.82
184,30.876666666666665
185,34.663333333333334
186,29.926666666666666
187,32.57666666666667
188,32.7
189,31.386666666666674
190,31.863333333333333
191,28.876666666666665
192,29.869999999999997
193,32.190000000000005
194,35.11
