Points Scored,FG,FG%,3P,3P%,ORB,Assists,Steals,OffRank,OppDefRank,Pace
122.0,43.0,0.413,12.0,0.364,13.0,27.0,9.0,113.9,113.9,
130.0,33.0,0.384,11.0,0.324,9.0,17.0,6.0,93.8,93.8,
122.0,41.0,0.471,9.0,0.346,4.0,23.0,6.0,99.4,99.4,
110.0,38.0,0.469,14.0,0.452,4.0,26.0,6.0,106.5,106.5,
116.0,49.0,0.544,15.0,0.385,3.0,24.0,12.0,124.1,124.1,
122.0,44.0,0.5,18.0,0.486,9.0,28.0,12.0,121.0,121.0,
116.0,44.0,0.484,16.0,0.4,12.0,29.0,3.0,127.4,127.4,
122.0,44.0,0.463,14.0,0.304,9.0,28.0,13.0,112.2,112.2,
125.0,46.0,0.438,11.0,0.289,11.0,21.0,9.0,118.2,118.2,
135.0,48.0,0.453,15.0,0.366,13.0,30.0,8.0,114.9,114.9,
113.0,42.0,0.483,14.0,0.326,6.0,23.0,5.0,116.7,116.7,
128.0,42.0,0.472,13.0,0.283,2.0,29.0,7.0,119.9,119.9,
98.0,31.0,0.369,11.0,0.256,8.0,20.0,3.0,90.9,90.9,
132.0,52.0,0.531,11.0,0.344,11.0,29.0,7.0,133.9,133.9,
147.0,57.0,0.57,19.0,0.422,10.0,33.0,7.0,139.3,139.3,
146.0,50.0,0.568,19.0,0.528,7.0,33.0,6.0,129.6,129.6,
124.0,45.0,0.455,15.0,0.417,11.0,21.0,12.0,120.1,120.1,
117.0,49.0,0.505,13.0,0.406,12.0,22.0,10.0,123.8,123.8,
108.0,39.0,0.443,15.0,0.366,8.0,21.0,6.0,105.8,105.8,
111.0,43.0,0.5,11.0,0.367,8.0,30.0,8.0,114.0,114.0,
104.0,36.0,0.391,15.0,0.395,10.0,26.0,4.0,102.4,102.4,
134.0,50.0,0.538,16.0,0.41,8.0,35.0,9.0,126.5,126.5,
136.0,51.0,0.573,27.0,0.574,9.0,31.0,7.0,139.5,139.5,
128.0,47.0,0.573,20.0,0.5,4.0,28.0,4.0,136.3,136.3,
109.0,38.0,0.494,18.0,0.462,8.0,23.0,9.0,118.5,118.5,
112.0,44.0,0.478,11.0,0.289,9.0,21.0,10.0,118.9,118.9,
127.0,45.0,0.517,15.0,0.484,5.0,25.0,6.0,117.1,117.1,
129.0,35.0,0.402,9.0,0.25,4.0,19.0,8.0,88.3,88.3,
98.0,45.0,0.523,14.0,0.389,6.0,23.0,12.0,121.5,121.5,
124.0,47.0,0.47,17.0,0.415,13.0,35.0,6.0,124.8,124.8,
132.0,49.0,0.576,17.0,0.486,10.0,33.0,5.0,134.4,134.4,
121.0,41.0,0.451,13.0,0.325,11.0,22.0,10.0,112.0,112.0,
100.0,36.0,0.404,8.0,0.25,12.0,26.0,10.0,101.1,101.1,
117.0,37.0,0.402,15.0,0.357,13.0,16.0,9.0,116.6,116.6,
124.0,42.0,0.483,9.0,0.333,15.0,22.0,10.0,119.0,119.0,
113.0,43.0,0.473,10.0,0.27,9.0,24.0,9.0,114.3,114.3,
113.0,42.0,0.532,7.0,0.333,10.0,24.0,5.0,112.4,112.4,
116.0,43.0,0.494,9.0,0.3,10.0,25.0,5.0,124.4,124.4,
88.0,35.0,0.361,7.0,0.2,13.0,19.0,9.0,91.7,91.7,
113.0,37.0,0.44,13.0,0.394,16.0,19.0,3.0,123.5,123.5,
112.0,40.0,0.388,14.0,0.318,17.0,23.0,10.0,103.6,103.6,
120.0,39.0,0.5,13.0,0.325,6.0,22.0,5.0,115.6,115.6,
111.0,30.0,0.349,13.0,0.342,11.0,22.0,11.0,96.0,96.0,
107.0,45.0,0.484,11.0,0.393,4.0,28.0,3.0,113.6,113.6,
114.0,40.0,0.465,14.0,0.483,5.0,24.0,7.0,111.8,111.8,
139.0,38.0,0.427,6.0,0.222,17.0,23.0,9.0,108.2,108.2,
101.0,47.0,0.505,19.0,0.559,12.0,30.0,12.0,124.1,124.1,
127.0,46.0,0.505,15.0,0.417,11.0,31.0,8.0,121.5,121.5,
117.0,43.0,0.518,4.0,0.19,11.0,23.0,6.0,117.0,117.0,
130.0,44.0,0.53,12.0,0.353,8.0,26.0,12.0,113.5,113.5,
107.0,39.0,0.476,17.0,0.395,8.0,26.0,10.0,115.6,115.6,
134.0,49.0,0.551,14.0,0.378,10.0,30.0,7.0,128.4,128.4,
103.0,36.0,0.396,13.0,0.317,12.0,19.0,3.0,104.4,104.4,
109.0,38.0,0.404,17.0,0.405,15.0,21.0,6.0,101.7,101.7,
128.0,43.0,0.478,12.0,0.353,15.0,22.0,5.0,124.1,124.1,
116.0,40.0,0.482,18.0,0.4,7.0,30.0,9.0,125.0,125.0,
130.0,47.0,0.528,12.0,0.343,8.0,35.0,3.0,123.8,123.8,
109.0,47.0,0.516,16.0,0.444,8.0,24.0,3.0,129.5,129.5,
114.0,41.0,0.427,17.0,0.405,14.0,18.0,5.0,110.5,110.5,
118.0,41.0,0.488,20.0,0.465,6.0,21.0,6.0,115.6,115.6,
109.0,41.0,0.432,13.0,0.351,10.0,18.0,8.0,108.1,108.1,
125.0,41.0,0.621,16.0,0.516,2.0,27.0,10.0,128.3,128.3,
115.0,42.0,0.472,12.0,0.364,13.0,32.0,4.0,120.9,120.9,
128.0,43.0,0.426,8.0,0.258,16.0,21.0,7.0,116.1,116.1,
107.0,39.0,0.459,13.0,0.481,5.0,28.0,7.0,101.2,101.2,
120.0,48.0,0.505,11.0,0.355,11.0,25.0,8.0,117.8,117.8,
113.0,37.0,0.435,9.0,0.36,11.0,19.0,6.0,121.2,121.2,
107.0,38.0,0.437,15.0,0.417,5.0,26.0,7.0,108.9,108.9,
130.0,50.0,0.543,14.0,0.389,9.0,34.0,9.0,125.9,125.9,
130.0,49.0,0.551,16.0,0.485,8.0,35.0,9.0,124.1,124.1,
123.0,43.0,0.413,12.0,0.364,13.0,27.0,9.0,113.9,113.9,
136.0,47.0,0.5,16.0,0.432,9.0,27.0,9.0,123.9,123.9,
107.0,41.0,0.466,11.0,0.379,7.0,22.0,9.0,101.9,101.9,
124.0,46.0,0.495,16.0,0.372,10.0,32.0,3.0,118.2,118.2,
128.0,39.0,0.448,4.0,0.148,8.0,21.0,3.0,111.0,111.0,
101.0,39.0,0.424,14.0,0.333,12.0,23.0,5.0,100.7,100.7,
88.0,33.0,0.388,5.0,0.192,12.0,19.0,7.0,86.5,86.5,
106.0,37.0,0.402,13.0,0.342,11.0,29.0,11.0,107.6,107.6,
100.0,39.0,0.448,12.0,0.324,12.0,16.0,5.0,117.9,117.9,
149.0,50.0,0.568,19.0,0.528,7.0,33.0,6.0,129.6,129.6,
121.0,44.0,0.463,21.0,0.457,14.0,19.0,6.0,136.7,136.7,
103.0,35.0,0.417,15.0,0.405,14.0,20.0,6.0,108.1,108.1,
